TARGET, TARGETLABEL, STAT, LABEL, TRAIN, VALIDATE, TEST, 
medv, , _NW_, Number of Estimated Weights, 13, 
medv, , _NOBS_, Sum of Frequencies, 202, 202, 102, 
medv, , _SUMW_, Sum of Case Weights Times Freq, 202, 202, 102, 
medv, , _DFT_, Total Degrees of Freedom, 202, 
medv, , _DFM_, Model Degrees of Freedom, 13, 
medv, , _DFE_, Degrees of Freedom for Error, 189, 
medv, , _ASE_, Average Squared Error, 15.479394939, 64.159229923, 76.257374728, 
medv, , _RASE_, Root Average Squared Error, 3.9343862214, 8.0099456879, 8.7325468638, 
medv, , _DIV_, Divisor for ASE, 202, 202, 102, 
medv, , _SSE_, Sum of Squared Errors, 3126.8377778, 12960.164444, 7778.2522222, 
medv, , _MSE_, Mean Squared Error, 16.544115226, 64.159229923, 76.257374728, 
medv, , _RMSE_, Root Mean Squared Error, 4.0674457865, 8.0099456879, 8.7325468638, 
medv, , _AVERR_, Average Error Function, 15.479394939, 64.159229923, 76.257374728, 
medv, , _ERR_, Error Function, 3126.8377778, 12960.164444, 7778.2522222, 
medv, , _MAX_, Maximum Absolute Error, 19.066666667, 29.966666667, 28.466666667, 
medv, , _FPE_, Final Prediction Error, 17.608835513, 
medv, , _RFPE_, Root Final Prediction Error, 4.196288302, 
medv, , _AIC_, Akaike's Information Criterion, 579.38097572, 
medv, , _SBC_, Schwarz's Bayesian Criterion, 622.38845579, 
