TARGET, TARGETLABEL, STAT, LABEL, TRAIN, VALIDATE, TEST, 
medv, , _AIC_, Akaike's Information Criterion, 784.78837636, 
medv, , _ASE_, Average Squared Error, 20.713467577, 22.285899089, 58.168201574, 
medv, , _AVERR_, Average Error Function, 20.713467577, 22.285899089, 58.168201574, 
medv, , _DFE_, Degrees of Freedom for Error, 244, 
medv, , _DFM_, Model Degrees of Freedom, 9, 
medv, , _DFT_, Total Degrees of Freedom, 253, 
medv, , _DIV_, Divisor for ASE, 253, 202, 51, 
medv, , _ERR_, Error Function, 5240.5072969, 4501.751616, 2966.5782803, 
medv, , _FPE_, Final Prediction Error, 22.241510267, 
medv, , _MAX_, Maximum Absolute Error, 27.991604727, 15.738918622, 28.775613038, 
medv, , _MSE_, Mean Square Error, 21.477488922, 22.285899089, 58.168201574, 
medv, , _NOBS_, Sum of Frequencies, 253, 202, 51, 
medv, , _NW_, Number of Estimate Weights, 9, 
medv, , _RASE_, Root Average Sum of Squares, 4.5512050686, 4.7207943282, 7.6268080855, 
medv, , _RFPE_, Root Final Prediction Error, 4.7160905703, 
medv, , _RMSE_, Root Mean Squared Error, 4.63438118, 4.7207943282, 7.6268080855, 
medv, , _SBC_, Schwarz's Bayesian Criterion, 816.58888176, 
medv, , _SSE_, Sum of Squared Errors, 5240.5072969, 4501.751616, 2966.5782803, 
medv, , _SUMW_, Sum of Case Weights Times Freq, 253, 202, 51, 
