NTrees, NLeaves, PredAll, PredOob, PredValid, MiscAll, MiscOob, MiscValid, LogLossAll, LogLossOob, LogLossValid, 
1, 5, 0.195, 0.209, 0.203, 0.283, 0.321, 0.293, 0.576, 0.609, 0.596, 
2, 14, 0.181, 0.217, 0.191, 0.273, 0.331, 0.307, 0.539, 0.760, 0.562, 
3, 20, 0.175, 0.204, 0.181, 0.272, 0.306, 0.320, 0.526, 0.632, 0.539, 
4, 26, 0.173, 0.195, 0.177, 0.273, 0.304, 0.320, 0.521, 0.603, 0.529, 
5, 29, 0.176, 0.192, 0.183, 0.282, 0.291, 0.327, 0.528, 0.564, 0.543, 
6, 34, 0.174, 0.188, 0.180, 0.280, 0.294, 0.327, 0.523, 0.554, 0.536, 
7, 40, 0.173, 0.189, 0.178, 0.276, 0.294, 0.327, 0.520, 0.555, 0.531, 
8, 49, 0.170, 0.187, 0.176, 0.265, 0.291, 0.320, 0.514, 0.554, 0.528, 
9, 56, 0.168, 0.185, 0.175, 0.259, 0.298, 0.300, 0.509, 0.546, 0.524, 
10, 62, 0.168, 0.184, 0.174, 0.258, 0.286, 0.300, 0.509, 0.545, 0.522, 
11, 75, 0.166, 0.183, 0.174, 0.252, 0.287, 0.287, 0.505, 0.542, 0.522, 
12, 79, 0.167, 0.183, 0.175, 0.265, 0.286, 0.300, 0.506, 0.543, 0.524, 
13, 84, 0.167, 0.182, 0.175, 0.260, 0.285, 0.307, 0.506, 0.541, 0.525, 
14, 90, 0.167, 0.182, 0.176, 0.259, 0.288, 0.313, 0.506, 0.540, 0.526, 
15, 92, 0.168, 0.182, 0.175, 0.262, 0.286, 0.320, 0.507, 0.540, 0.525, 
16, 98, 0.168, 0.182, 0.175, 0.262, 0.288, 0.307, 0.507, 0.540, 0.525, 
17, 107, 0.167, 0.183, 0.175, 0.262, 0.282, 0.313, 0.506, 0.542, 0.524, 
18, 117, 0.166, 0.182, 0.174, 0.265, 0.283, 0.313, 0.504, 0.541, 0.523, 
19, 119, 0.167, 0.183, 0.175, 0.268, 0.282, 0.307, 0.507, 0.542, 0.525, 
20, 123, 0.168, 0.183, 0.175, 0.263, 0.289, 0.307, 0.509, 0.544, 0.526, 
